Date,Campaign_ID,Campaign_Name,Ad_Set_Name,Platform,Objective,Target_Audience,Location,Age_Group,Gender,Device,Ad_Format,Impressions,Reach,Clicks,CTR_Percent,CPC_INR,Spend_INR,Leads,Add_to_Cart,Purchases,Conversion_Rate_Percent,Revenue_INR,ROAS,Bounce_Rate_Percent,Avg_Session_Duration_Sec,Landing_Page,UTM_Campaign
2025-06-25,CMP-2561,Luxury Digital Detox,Pre-emptive 5thgeneration circuit,Facebook,Lead Generation,High Income Professionals,Mangalore,25-34,Male,Desktop,Carousel,7509,5097,2,0.03,96.57,193.14,0,0,0,0.0,0,0.0,54.19,209,/book-now,luxury_digital_detox
2025-04-02,CMP-8333,Luxury Nature Escape,Networked tangible matrix,Facebook,Lead Generation,Business Owners,Indore,45-54,Male,Mobile,Story Ad,21852,16747,151,0.69,102.39,15460.89,17,6,3,1.99,360000,23.28,66.52,54,/mental-reset-retreat,luxury_nature_escape
2025-08-13,CMP-1948,Eco Adventure Cabins,Innovative value-added projection,Instagram,Traffic,Gen-Z Eco Travelers,Pune,18-24,Other,Tablet,Lead Form,17463,10017,497,2.85,8.44,4194.68,1,0,0,0.0,0,0.0,37.0,699,/mental-reset-retreat,eco_adventure_cabins
2025-02-09,CMP-6530,Luxury Digital Detox,Configurable interactive policy,Facebook,Traffic,High Income Professionals,Mangalore,18-24,Male,Tablet,Image,85462,50164,1283,1.5,97.19,124694.77,133,54,8,0.62,760000,6.09,46.0,800,/weekend-reset,luxury_digital_detox
2025-03-24,CMP-5445,Eco Adventure Cabins,De-engineered discrete initiative,Instagram,Engagement,Gen-Z Eco Travelers,Bengaluru,45-54,Female,Tablet,Lead Form,61297,48550,2370,3.87,10.29,24387.3,1,0,0,0.0,0,0.0,66.55,876,/book-now,eco_adventure_cabins
2025-01-13,CMP-5468,Weekend Mental Reset,Extended 24hour parallelism,Instagram,Lead Generation,Working Professionals,Ahmedabad,18-24,Female,Mobile,Image,133566,108176,3537,2.65,13.34,47183.58,118,20,9,0.25,1080000,22.89,54.81,849,/mental-reset-retreat,weekend_mental_reset
2025-06-07,CMP-5129,Silent Productivity Camp,Configurable tangible open system,LinkedIn,Engagement,Tech Employees,Surat,25-34,Female,Tablet,Story Ad,15297,14033,336,2.2,12.9,4334.4,3,1,0,0.0,0,0.0,59.56,273,/burnout-recovery,silent_productivity_camp
2025-05-20,CMP-4632,Mindful Weekend Escape,Organic local synergy,Instagram,Traffic,Corporate Executives,Nagpur,45-54,Female,Desktop,Lead Form,172916,128837,3231,1.87,99.16,320385.96,291,91,18,0.56,1710000,5.34,46.01,569,/weekend-reset,mindful_weekend_escape
2025-01-26,CMP-6716,Eco Adventure Cabins,Streamlined responsive functionalities,Instagram,Conversions,Gen-Z Eco Travelers,Jaipur,45-54,Male,Tablet,Story Ad,9499,7149,295,3.11,11.02,3250.9,1,0,0,0.0,0,0.0,54.73,798,/luxury-cabins,eco_adventure_cabins
2025-01-09,CMP-2171,Mindful Weekend Escape,Networked 6thgeneration contingency,Instagram,Traffic,Corporate Executives,Chandigarh,35-44,Male,Tablet,Video,103058,64369,929,0.9,37.24,34595.96,70,47,10,1.08,850000,24.57,54.18,544,/executive-detox-guide,mindful_weekend_escape
2025-01-29,CMP-3773,Focus & Productivity Retreat,Visionary local toolset,LinkedIn,Conversions,C-Suite Leaders,Bhubaneswar,45-54,Other,Mobile,Image,19864,12652,75,0.38,74.64,5598.0,14,3,1,1.33,65000,11.61,61.47,526,/executive-retreat,focus_&_productivity_retreat
2025-03-06,CMP-3957,Luxury Nature Escape,Business-focused cohesive archive,Facebook,Conversions,Business Owners,Trivandrum,25-34,Male,Tablet,Carousel,2790,1859,32,1.15,40.32,1290.24,1,0,0,0.0,0,0.0,84.38,204,/executive-detox-guide,luxury_nature_escape
2025-07-04,CMP-4864,Mindful Weekend Escape,Persevering coherent encoding,Instagram,Website Visits,Corporate Executives,Vadodara,45-54,Male,Mobile,Story Ad,93942,77101,2099,2.23,94.82,199027.18,116,41,20,0.95,1440000,7.24,81.72,753,/burnout-recovery,mindful_weekend_escape
2025-03-01,CMP-6232,Weekend Mental Reset,Proactive non-volatile array,Instagram,Lead Generation,Working Professionals,Mangalore,25-34,Male,Tablet,Image,45067,33855,1295,2.87,17.63,22830.85,39,22,10,0.77,720000,31.54,77.11,443,/executive-detox-guide,weekend_mental_reset
2025-05-09,CMP-7418,Luxury Nature Escape,Advanced systematic workforce,Facebook,Website Visits,Business Owners,Vadodara,18-24,Other,Tablet,Story Ad,88476,64568,324,0.37,68.06,22051.44,26,3,1,0.31,72000,3.27,68.63,753,/book-now,luxury_nature_escape
